Country Name,Year,Pollution Level (PM2.5)
Taiwan,1987,
Taiwan,1988,
Taiwan,1989,
Taiwan,1990,
Taiwan,1991,
Taiwan,1992,
Taiwan,1993,
Taiwan,1994,
Taiwan,1995,
Taiwan,1996,
Taiwan,1997,
Taiwan,1998,
Taiwan,1999,
Taiwan,2000,
Taiwan,2001,
Taiwan,2002,
Taiwan,2003,
Taiwan,2004,
Taiwan,2005,
Taiwan,2006,
Taiwan,2007,
Taiwan,2008,
Taiwan,2009,
Taiwan,2010,
Taiwan,2011,
Taiwan,2012,
Taiwan,2013,24.0
Taiwan,2014,
Taiwan,2015,22.0
Taiwan,2016,20.9
Taiwan,2017,20.7
Taiwan,2018,19.0
Taiwan,2019,17.2
Taiwan,2020,15.1
Taiwan,2021,15.9
Taiwan,2022,13.1
Taiwan,2023,14.7
