Country Name,Year,GDP,Urbanization Rate,Immigration Rate
South Korea,1996,610167053824.007,78.662,-122607.0
South Korea,1997,569755022973.035,78.905,-125395.0
South Korea,1998,383331833681.821,79.145,-113294.0
South Korea,1999,497514040642.262,79.384,-110955.0
South Korea,2000,576179387819.613,79.621,-72624.0
South Korea,2001,547656279894.587,79.94,-26859.0
South Korea,2002,627246933729.618,80.299,-13515.0
South Korea,2003,702714855193.904,80.652,-22385.0
South Korea,2004,793175561887.027,81.002,-33556.0
South Korea,2005,934901071332.984,81.345,-36504.0
South Korea,2006,1053216909887.56,81.528,-28341.0
South Korea,2007,1172614086539.86,81.631,-39728.0
South Korea,2008,1047339010225.25,81.733,-20513.0
South Korea,2009,943941876218.743,81.835,4715.0
South Korea,2010,1143672241149.72,81.936,56092.0
South Korea,2011,1253289537500.81,81.923,259829.0
South Korea,2012,1278046536287.01,81.851,275552.0
South Korea,2013,1370632955321.2,81.779,288205.0
South Korea,2014,1484488526271.8,81.707,296280.0
South Korea,2015,1466038936206.43,81.634,266322.0
South Korea,2016,1499679823909.61,81.562,102075.0
South Korea,2017,1623074183501.9,81.503,112523.0
South Korea,2018,1725373496825.43,81.459,118642.0
South Korea,2019,1651422932447.77,81.43,110799.0
South Korea,2020,1644312831906.17,81.414,0.0
South Korea,2021,1818432106880.04,81.414,43440.0
South Korea,2022,1673916511799.71,81.427,29998.0
South Korea,2023,1712792854202.37,81.456,29998.0
Singapore,1960,704751700.302494,100.0,1688.0
Singapore,1961,764629788.123689,100.0,210.0
Singapore,1962,826239211.817511,100.0,-756.0
Singapore,1963,917608012.491752,100.0,-2171.0
Singapore,1964,894153311.424857,100.0,-2188.0
Singapore,1965,974644096.144674,100.0,422.0
Singapore,1966,1096425608.09089,100.0,-1517.0
Singapore,1967,1238035815.78586,100.0,372.0
Singapore,1968,1425706091.0356,100.0,1047.0
Singapore,1969,1659893767.84419,100.0,-43.0
Singapore,1970,1920574150.17542,100.0,607.0
Singapore,1971,2263785443.61688,100.0,-218.0
Singapore,1972,2721440980.75851,100.0,904.0
Singapore,1973,3696213333.33333,100.0,1267.0
Singapore,1974,5221534955.64418,100.0,1127.0
Singapore,1975,5633673929.99302,100.0,1104.0
Singapore,1976,6327077974.10703,100.0,433.0
Singapore,1977,6618585073.66035,100.0,3897.0
Singapore,1978,7517176354.84135,100.0,5245.0
Singapore,1979,9296921723.83465,100.0,9866.0
Singapore,1980,11896256782.8566,100.0,17373.0
Singapore,1981,14175228843.6391,100.0,25684.0
Singapore,1982,16084252378.473,100.0,26756.0
Singapore,1983,17784112149.5327,100.0,31067.0
Singapore,1984,19749361097.965,100.0,31375.0
Singapore,1985,19156532745.7691,100.0,31389.0
Singapore,1986,18586746056.9974,100.0,37987.0
Singapore,1987,20919215578.2125,100.0,34031.0
Singapore,1988,25371462488.1292,100.0,26581.0
Singapore,1989,30465364738.6206,100.0,29014.0
Singapore,1990,36144336768.7023,100.0,44423.0
Singapore,1991,45466164978.2923,100.0,71936.0
Singapore,1992,52131320032.8797,100.0,71430.0
Singapore,1993,60603815716.2653,100.0,68911.0
Singapore,1994,73688724431.1412,100.0,69606.0
Singapore,1995,87812540788.4293,100.0,67448.0
Singapore,1996,96293086513.0872,100.0,77188.0
Singapore,1997,100123787215.299,100.0,70128.0
Singapore,1998,85728207781.7785,100.0,74882.0
Singapore,1999,86286849754.8905,100.0,69080.0
Singapore,2000,96076539925.7409,100.0,39387.0
Singapore,2001,89793790669.6515,100.0,32038.0
Singapore,2002,92538372869.6942,100.0,22897.0
Singapore,2003,97646401095.6369,100.0,19770.0
Singapore,2004,115033593101.049,100.0,15629.0
Singapore,2005,127807848728.398,100.0,80422.0
Singapore,2006,148627286361.351,100.0,149376.0
Singapore,2007,180941701357.97,100.0,147762.0
Singapore,2008,193617323539.203,100.0,145016.0
Singapore,2009,194150283771.566,100.0,142947.0
Singapore,2010,239807980591.24,100.0,109045.0
Singapore,2011,279356499090.458,100.0,72396.0
Singapore,2012,295092888076.589,100.0,67992.0
Singapore,2013,307576360584.992,100.0,67504.0
Singapore,2014,314863580758.455,100.0,60308.0
Singapore,2015,307998545269.398,100.0,40958.0
Singapore,2016,319053943915.005,100.0,36498.0
Singapore,2017,343257164581.712,100.0,35449.0
Singapore,2018,376892697588.005,100.0,35726.0
Singapore,2019,376901649222.451,100.0,40624.0
Singapore,2020,349488382610.662,100.0,21324.0
Singapore,2021,434111559282.849,100.0,19321.0
Singapore,2022,498474540987.78,100.0,26998.0
Singapore,2023,501427500080.059,100.0,26998.0
